ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
288539.0,The Jaws of Victory: Battle of Korsun-Cherkassy Pocket - January/February 1944,2020.0,2,5,3000,16,71,8.58169,6417,4.2,298.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up, Zone of Control",Wargames
39045.0,Heroes of the World,2008.0,2,5,75,10,239,6.39038,6418,2.1613,366.0,"Area Majority / Influence, Dice Rolling",Strategy Games
8320.0,Sicily: The Race for Messina,1981.0,2,2,1200,12,202,6.6046,6419,3.129,839.0,"Dice Rolling, Hexagon Grid, Ratio / Combat Results Table, Simulation",Wargames
41763.0,Le Passe-Trappe Grande,2008.0,2,2,5,10,135,6.95526,6420,1.0,136.0,Unknown,Unknown
5410.0,La Grande Guerre 14-18,1999.0,2,6,3600,14,103,7.82427,6421,4.913,262.0,"Dice Rolling, Grid Movement, Hexagon Grid, Secret Unit Deployment, Simulation",Wargames
36596.0,Ancient Battles Deluxe: From Guts to Gunpowder,2008.0,2,2,60,0,132,7.06477,6422,1.871,310.0,"Dice Rolling, Hexagon Grid, Simulation",Wargames
11038.0,Fiasco,2003.0,2,6,15,12,147,7.0534,6423,1.25,476.0,Trick-taking,Unknown
127432.0,Columba,2012.0,2,4,30,8,145,6.93124,6424,2.25,241.0,"Area Majority / Influence, Layering, Team-Based Game, Tile Placement",Unknown
234452.0,Guess Club,2017.0,2,8,30,10,144,7.0759,6425,2.0,149.0,"Betting and Bluffing, Hand Management, Paper-and-Pencil",Unknown
38858.0,Strada Romana,2009.0,2,5,45,8,365,6.16485,6426,2.0811,574.0,"Action Points, Betting and Bluffing, Pick-up and Deliver, Set Collection",Strategy Games
8232.0,Zauberschwert & Drachenei,2003.0,2,4,45,12,413,6.08678,6427,1.9273,1104.0,"Auction/Bidding, Set Collection, Trading",Strategy Games
4980.0,Cityscape,2002.0,2,4,10,8,308,6.22516,6428,1.6957,523.0,Unknown,Abstract Games
200511.0,After The Empire,2021.0,2,4,120,13,112,8.28973,6429,3.4545,313.0,Worker Placement,Unknown
2368.0,Battlecars,1983.0,2,4,90,12,405,6.2011,6430,1.9792,739.0,"Modular Board, Point to Point Movement, Take That, Variable Player Powers","Thematic Games, Wargames"
16035.0,Cranium Whoonu,2005.0,3,6,30,8,525,6.00865,6431,1.0889,1159.0,Unknown,"Family Games, Party Games"
246696.0,Monster Match,2018.0,2,6,10,6,201,6.61244,6432,1.1667,491.0,"Dice Rolling, Pattern Recognition",Unknown
175989.0,Pillars of Eternity: Lords of the Eastern Reach,2016.0,1,4,120,13,284,6.50299,6433,2.375,886.0,Hand Management,Unknown
148507.0,IUNU,2013.0,2,4,30,10,176,6.6904,6434,2.0,579.0,"Dice Rolling, Set Collection, Variable Player Powers",Unknown
73650.0,Porto Carthago,2010.0,3,5,90,12,243,6.38909,6435,3.1034,439.0,Worker Placement,Unknown
158812.0,Shadow Throne,2014.0,3,5,30,14,224,6.5442,6436,1.9231,340.0,"Card Drafting, Hand Management, Simultaneous Action Selection",Unknown
252212.0,Tales of Evil,2020.0,1,6,60,13,178,7.55253,6437,2.0,548.0,"Area Movement, Cooperative Game, Dice Rolling, Storytelling, Variable Phase Order",Unknown
7451.0,Jarnac,1977.0,2,2,40,7,180,6.70489,6438,2.2143,292.0,"Team-Based Game, Tile Placement",Unknown
211813.0,Holdfast: EastFront 1941-45,2017.0,1,2,300,10,90,7.92222,6439,2.25,247.0,"Action Points, Dice Rolling",Wargames
146548.0,Imaginarium,2011.0,4,7,30,16,325,6.44095,6440,1.1429,381.0,"Simultaneous Action Selection, Voting",Party Games
18121.0,Casino,1800.0,2,4,30,10,281,6.28852,6441,1.4,183.0,"Hand Management, Set Collection","Abstract Games, Family Games"
